Index,Project,Link,GH_Owner,GH_Name,req_files,setup_files
1,1,https://github.com/hudduapp/huddu-python,1,1
186333,kqueen,https://github.com/Mirantis/kqueen,Mirantis,kqueen,[],"[ContentFile(path=""setup.py"")]"
186334,kquery,https://github.com/samambaman/kquery,samambaman,kquery,"[ContentFile(path=""requirements.txt""), ContentFile(path=""requirements_dev.txt"")]","[ContentFile(path=""setup.py"")]"
186335,kr,https://github.com/thorwhalen/uu,thorwhalen,uu,[],[]
186338,kr580,https://github.com/gsedometov/KR580-emulator,gsedometov,KR580-emulator,[],[]
186339,kraconvert,https://github.com/bloodywing/kraconvert,bloodywing,kraconvert,[],"[ContentFile(path=""setup.py"")]"
186342,kragle,https://github.com/arni-inaba/kragle,arni-inaba,kragle,[],[]
186344,kraisitschool,https://github.com/Kraisitt/KraisitSchool,Kraisitt,KraisitSchool,[],"[ContentFile(path=""setup.py"")]"
186345,krait,https://github.com/taliamax/krait,taliamax,krait,"[ContentFile(path=""requirements.txt""), ContentFile(path=""test-requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186346,kraiyospf,https://github.com/KraiyosW/KraiyosPF,KraiyosW,KraiyosPF,[],"[ContentFile(path=""setup.py"")]"
186347,krak,https://github.com/yetisir/krak,yetisir,krak,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186348,krakatau-noff,https://github.com/drstrng/Krakatau-noff,drstrng,Krakatau-noff,[],"[ContentFile(path=""setup.py"")]"
186349,krakatoa,https://github.com/aitec-mp/krakatoa,aitec-mp,krakatoa,[],"[ContentFile(path=""setup.py"")]"
186351,krakee,https://github.com/rubenafo/krakee,rubenafo,krakee,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186354,krakenapi,https://github.com/FuturBroke/kraken-api,FuturBroke,kraken-api,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186355,kraken-async-api,https://github.com/nickjfenton/kraken-async-api,nickjfenton,kraken-async-api,[],"[ContentFile(path=""setup.py"")]"
186356,kraken-biom,https://github.com/smdabdoub/kraken-biom,smdabdoub,kraken-biom,[],"[ContentFile(path=""setup.py"")]"
186359,krakenci-client,https://github.com/kraken-ci/kraken,kraken-ci,kraken,"[ContentFile(path=""requirements.txt"")]",[]
186360,krakenci-server,https://github.com/kraken-ci/kraken,kraken-ci,kraken,"[ContentFile(path=""requirements.txt"")]",[]
186364,krakenclient,https://github.com/ApacheDatastreams/krakenclient,ApacheDatastreams,krakenclient,[],"[ContentFile(path=""setup.py"")]"
186415,kramersmoyal,https://github.com/LRydin/KramersMoyal,LRydin,KramersMoyal,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186418,krange,https://github.com/pamendez/Range-Kata,pamendez,Range-Kata,[],[]
186419,krangpower,https://github.com/supsi-dacd-isaac/krangpower,supsi-dacd-isaac,krangpower,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186421,krank,https://github.com/remrama/krank,remrama,krank,[],[]
186423,krankshaft,https://github.com/dlamotte/krankshaft,dlamotte,krankshaft,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186429,krate,https://github.com/BenedictWilkinsAI/krate,BenedictWilkinsAI,krate,[],"[ContentFile(path=""setup.py"")]"
186431,krateng,https://github.com/krateng/kratengpy,krateng,kratengpy,[],[]
186432,krater,https://github.com/mahajrod/KRATER,mahajrod,KRATER,[],"[ContentFile(path=""setup.py"")]"
186433,kratky-rg-izero,https://github.com/gpwolfe/kratky_rg_izero,gpwolfe,kratky_rg_izero,[],"[ContentFile(path=""setup.py"")]"
186434,kratos,https://github.com/Kuree/kratos,Kuree,kratos,[],"[ContentFile(path=""setup.py"")]"
186438,kratoscontactstructuralmechanicsapplication,https://github.com/KratosMultiphysics/Examples,KratosMultiphysics,Examples,[],[]
186440,kratoscosimulationapplication,https://github.com/KratosMultiphysics/Examples,KratosMultiphysics,Examples,[],[]
186442,kratosdamapplication,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186443,kratos-debug,https://github.com/Kuree/kratos-debug,Kuree,kratos-debug,[],"[ContentFile(path=""setup.py"")]"
186445,kratosdemapplication,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186449,kratoshdf5application,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186452,kratosmappingapplication,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186455,kratosmetisapplication,https://github.com/KarypisLab/METIS,KarypisLab,METIS,[],[]
186456,kratosmultilevelmontecarloapplication,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186457,kratosmultiphysics,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186458,kratosmultiphysics-all,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186459,kratosparticlemechanicsapplication,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186463,kratos-runtime,https://github.com/Kuree/kratos-runtime,Kuree,kratos-runtime,[],"[ContentFile(path=""setup.py"")]"
186465,kratosshapeoptimizationapplication,https://github.com/KratosMultiphysics/Examples,KratosMultiphysics,Examples,[],[]
186468,kratosswimmingdemapplication,https://github.com/KratosMultiphysics/Kratos,KratosMultiphysics,Kratos,[],[]
186470,krauss-misc,https://github.com/ryanGT/krauss_misc,ryanGT,krauss_misc,[],"[ContentFile(path=""setup.py"")]"
186471,kraut,https://github.com/nullscry/kraut,nullscry,kraut,[],[]
186472,krautcat-pyscrobbler,https://github.com/krautcat/pyscrobbler,krautcat,pyscrobbler,[],[]
186474,kravatte,https://github.com/inmcm/kravatte,inmcm,kravatte,[],"[ContentFile(path=""setup.py"")]"
186477,krawarranger,https://github.com/fjmaro/Krawarranger,fjmaro,Krawarranger,[],"[ContentFile(path=""setup.py"")]"
186478,krawler-api,https://github.com/harry81/krawler,harry81,krawler,[],"[ContentFile(path=""setup.py"")]"
186480,krb5,https://github.com/jborean93/pykrb5,jborean93,pykrb5,"[ContentFile(path=""requirements-dev.txt"")]","[ContentFile(path=""setup.py"")]"
186481,krbalancing,https://github.com/deeptools/Knight-Ruiz-Matrix-balancing-algorithm,deeptools,Knight-Ruiz-Matrix-balancing-algorithm,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186482,krbcontext,https://github.com/krbcontext/python-krbcontext,krbcontext,python-krbcontext,[],"[ContentFile(path=""setup.py"")]"
186483,krbticket,https://github.com/ksauzz/krbticket,ksauzz,krbticket,"[ContentFile(path=""requirements-test.txt""), ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186484,krcg,https://github.com/lionel-panhaleux/krcg,lionel-panhaleux,krcg,[],"[ContentFile(path=""setup.py"")]"
186485,krcg-api,https://github.com/lionel-panhaleux/krcg,lionel-panhaleux,krcg,[],"[ContentFile(path=""setup.py"")]"
186486,krcg-bot,https://github.com/lionel-panhaleux/krcg-bot,lionel-panhaleux,krcg-bot,[],"[ContentFile(path=""setup.py"")]"
186487,krcg-cli,https://github.com/lionel-panhaleux/krcg-cli,lionel-panhaleux,krcg-cli,[],"[ContentFile(path=""setup.py"")]"
186488,kr-cli,https://github.com/jonatasleon/kr-cli,jonatasleon,kr-cli,[],"[ContentFile(path=""setup.py"")]"
186490,krdict-py,https://github.com/omarkmu/krdict.py#readme,omarkmu,krdict.py#readme,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186494,krecommend,https://github.com/saheedniyi02/KRecommend,saheedniyi02,KRecommend,[],"[ContentFile(path=""setup.py"")]"
186498,krema,https://github.com/kremayard/krema,kremayard,krema,[],[]
186500,krepe,https://github.com/RGBwalnut/Kmer-Counting-Analysis,RGBwalnut,Kmer-Counting-Analysis,[],[]
186502,krest,https://github.com/Kaminario/krest,Kaminario,krest,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186505,kreuzbergml,https://github.com/LEAD-Machine-Learning/kreuzberg-ml,LEAD-Machine-Learning,kreuzberg-ml,[],"[ContentFile(path=""setup.py"")]"
186506,kreveik,https://github.com/mehmetalianil/Kreveik,mehmetalianil,Kreveik,[],"[ContentFile(path=""distribute_setup.py""), ContentFile(path=""setup.py"")]"
186509,kriegspiel,https://github.com/Kriegspiel/ks-game,Kriegspiel,ks-game,"[ContentFile(path=""requirements-dev.txt""), ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186512,krikos,https://github.com/shubhangdesai/krikos,shubhangdesai,krikos,[],[]
186513,krikzz-pub-archive-tool,https://github.com/daxxog/krikzz-pub-archive-tool,daxxog,krikzz-pub-archive-tool,"[ContentFile(path=""requirements.dev.txt""), ContentFile(path=""requirements.frozen.txt""), ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186514,krill,https://github.com/p-e-w/krill,p-e-w,krill,[],"[ContentFile(path=""setup.py"")]"
186517,krinn,https://github.com/BRAINIFII/krinn,BRAINIFII,krinn,[],"[ContentFile(path=""setup.py"")]"
186520,kripfunc,https://github.com/vinkami/kripfunc,vinkami,kripfunc,[],[]
186521,krippendorff,https://github.com/pln-fing-udelar/fast-krippendorff,pln-fing-udelar,fast-krippendorff,[],[]
186523,kripta-py,https://github.com/Sanix-Darker/kripta-py,Sanix-Darker,kripta-py,[],[]
186524,kriptman,https://github.com/luc-he-arc/kriptman,luc-he-arc,kriptman,[],[]
186525,kripton-guard,https://github.com/COMU/kripton-guard,COMU,kripton-guard,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186527,kripweb,https://github.com/vinkami/kripweb,vinkami,kripweb,"[ContentFile(path=""requirements.txt"")]",[]
186532,krishang-hds,https://github.com/krishan57gupta/HDS,krishan57gupta,HDS,[],"[ContentFile(path=""setup.py"")]"
186542,krisk,https://github.com/napjon/krisk,napjon,krisk,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186543,krispackage,https://github.com/axellerate/testing,axellerate,testing,[],[]
186544,krispbroadcaster,https://github.com/encode/broadcaster,encode,broadcaster,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186546,krispy,https://github.com/kgearhar/krispy,kgearhar,krispy,[],"[ContentFile(path=""setup.py"")]"
186548,kristall,https://github.com/zgoda/kristall,zgoda,kristall,[],"[ContentFile(path=""setup.py"")]"
186549,kristipatis-first-project,https://github.com/pypa/sampleproject,pypa,sampleproject,[],[]
186559,krlio,https://github.com/dorthu/krlio-python,dorthu,krlio-python,[],"[ContentFile(path=""setup.py"")]"
186560,krllint,https://github.com/d4nuu8/krllint,d4nuu8,krllint,"[ContentFile(path=""dev-requirements.txt""), ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186562,krmd,https://github.com/keremdemirtrk/krmd,keremdemirtrk,krmd,"[ContentFile(path=""requirements-dev.txt""), ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186565,krms,https://github.com/garain/krms,garain,krms,[],"[ContentFile(path=""setup.py"")]"
186569,krock32,https://github.com/DrSLDR/krock32,DrSLDR,krock32,"[ContentFile(path=""requirements.txt"")]","[ContentFile(path=""setup.py"")]"
186570,krocus,https://github.com/andrewjpage/krocus,andrewjpage,krocus,[],"[ContentFile(path=""setup.py"")]"
186572,krok,https://github.com/smpio/krok,smpio,krok,[],"[ContentFile(path=""setup.py"")]"
186573,kroki,https://github.com/thorwhalen/kroki,thorwhalen,kroki,[],"[ContentFile(path=""setup.py"")]"
186574,krolib,https://github.com/nextiva/krolib,nextiva,krolib,[],"[ContentFile(path=""setup.py"")]"
186575,kroman,https://github.com/cheunghy/kroman-py,cheunghy,kroman-py,[],"[ContentFile(path=""setup.py"")]"
186576,krome,https://github.com/MXK606/krome,MXK606,krome,[],[]
186577,kroml,https://github.com/kroML/kroml,kroML,kroml,[],"[ContentFile(path=""setup.py"")]"
186578,kron,https://github.com/qtfkwk/kron,qtfkwk,kron,[],"[ContentFile(path=""setup.py"")]"
